AGE,GENDER,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_YEAR,ANNUAL_MILEAGE,VEHICLE_TYPE
40-64,male,10-19y,university,upper class,5.781.305.873.212.030,before 2015,14000.0,sedan
65+,male,30y+,high school,upper class,7.054.542.902.137.050,before 2015,10000.0,sedan
40-64,male,20-29y,university,upper class,6.595.254.905.875.940,after 2015,16000.0,sedan
40-64,male,20-29y,university,upper class,5.873.836.120.460.220,after 2015,9000.0,sedan
16-25,male,0-9y,none,poverty,4.064.824.253.974.470,before 2015,16000.0,sedan
26-39,female,10-19y,high school,poverty,2.857.471.319.596.460,before 2015,13000.0,sedan
40-64,male,20-29y,high school,middle class,5.022.849.652.731.050,before 2015,14000.0,sports car
65+,male,20-29y,high school,upper class,6.256.257.210.210.230,after 2015,7000.0,sedan
40-64,female,20-29y,university,upper class,,after 2015,11000.0,sedan
26-39,female,10-19y,university,working class,3.931.531.299.744.000,before 2015,12000.0,sedan
26-39,female,10-19y,none,working class,5.039.497.598.168.120,before 2015,14000.0,sedan
40-64,male,20-29y,university,upper class,6.586.274.302.571.430,before 2015,14000.0,sedan
26-39,female,0-9y,high school,working class,5.241.464.657.501.190,before 2015,17000.0,sedan
65+,male,20-29y,university,upper class,5.531.007.570.628.670,after 2015,7000.0,sedan
16-25,female,0-9y,university,working class,4.475.509.489.142.770,before 2015,8000.0,sedan
16-25,female,0-9y,none,working class,5.107.331.365.064.200,before 2015,7000.0,sedan
26-39,female,10-19y,high school,middle class,,after 2015,15000.0,sedan
16-25,female,0-9y,high school,poverty,4.613.735.917.269.190,before 2015,9000.0,sedan
40-64,female,20-29y,university,middle class,38.755.694.436.473.100,after 2015,12000.0,sedan
40-64,female,20-29y,university,middle class,5.701.572.256.616.220,after 2015,,sedan
26-39,male,10-19y,university,working class,5.501.250.875.743.220,before 2015,16000.0,sedan
40-64,male,20-29y,high school,working class,4.529.442.316.093.680,before 2015,12000.0,sedan
26-39,male,10-19y,university,upper class,,before 2015,8000.0,sedan
40-64,female,20-29y,high school,upper class,5.352.743.096.602.140,before 2015,7000.0,sedan
16-25,female,0-9y,university,middle class,6.147.359.485.632.910,before 2015,15000.0,sedan
40-64,female,20-29y,high school,poverty,4.544.471.564.329.250,before 2015,,sedan
40-64,female,0-9y,university,upper class,6.137.409.183.819.410,before 2015,,sedan
40-64,female,10-19y,high school,working class,5.326.613.280.250.590,before 2015,11000.0,sedan
40-64,female,0-9y,university,middle class,42.772.851.430.193.400,before 2015,15000.0,sedan
65+,male,20-29y,university,upper class,6.859.457.213.719.140,before 2015,5000.0,sedan
65+,male,10-19y,university,upper class,6.936.124.267.187.080,before 2015,10000.0,sedan
65+,male,20-29y,high school,upper class,5.979.905.963.582.330,before 2015,12000.0,sedan
26-39,male,0-9y,none,poverty,33.081.866.649.869.200,after 2015,12000.0,sedan
40-64,male,20-29y,high school,working class,,before 2015,12000.0,sedan
26-39,female,10-19y,none,working class,,before 2015,9000.0,sedan
16-25,male,0-9y,high school,middle class,5.083.042.183.803.540,before 2015,16000.0,sedan
26-39,female,0-9y,university,upper class,7.641.329.165.005.230,before 2015,12000.0,sedan
40-64,female,0-9y,university,middle class,4.775.169.603.837.710,after 2015,14000.0,sedan
40-64,female,20-29y,university,upper class,6.812.332.078.486.960,before 2015,10000.0,sedan
40-64,male,0-9y,university,upper class,4.671.555.457.007.020,after 2015,16000.0,sedan
16-25,female,0-9y,high school,working class,3.941.632.454.999.790,before 2015,16000.0,sedan
40-64,female,10-19y,university,upper class,6.610.607.322.734.070,after 2015,14000.0,sedan
40-64,male,20-29y,university,upper class,6.651.879.748.430.340,before 2015,14000.0,sedan
16-25,female,0-9y,high school,middle class,560.770.206.632.082,before 2015,11000.0,sedan
26-39,female,10-19y,university,upper class,7.454.327.103.696.540,after 2015,9000.0,sedan
26-39,male,10-19y,university,middle class,53.257.435.224.505,before 2015,13000.0,sedan
26-39,female,10-19y,high school,middle class,5.267.473.391.434.410,after 2015,14000.0,sedan
16-25,female,0-9y,none,poverty,4.124.517.461.654.280,before 2015,14000.0,sedan
40-64,male,20-29y,high school,working class,38.710.714.490.182.900,before 2015,16000.0,sedan
65+,male,10-19y,high school,middle class,5.499.938.678.343.240,before 2015,9000.0,sedan
16-25,male,0-9y,university,upper class,5.853.420.947.575.600,before 2015,12000.0,sports car
65+,male,30y+,none,middle class,5.987.396.054.343.310,before 2015,14000.0,sedan
40-64,male,20-29y,university,upper class,6.026.557.000.791.790,after 2015,7000.0,sedan
26-39,female,0-9y,high school,working class,5.114.570.584.803.530,after 2015,,sedan
40-64,female,20-29y,high school,upper class,5.586.591.735.288.890,before 2015,15000.0,sedan
40-64,male,10-19y,high school,working class,6.284.070.137.170.300,before 2015,13000.0,sedan
40-64,male,0-9y,high school,working class,5.057.903.732.571.780,before 2015,13000.0,sedan
26-39,female,10-19y,university,upper class,7.268.184.180.645.270,before 2015,15000.0,sedan
65+,male,20-29y,university,upper class,6.904.423.335.733.170,after 2015,9000.0,sedan
40-64,male,20-29y,university,upper class,4.796.771.646.619.310,after 2015,14000.0,sedan
26-39,male,10-19y,university,upper class,,after 2015,11000.0,sedan
40-64,female,20-29y,none,working class,4.405.592.041.968.230,after 2015,11000.0,sedan
16-25,female,0-9y,none,middle class,634.052.597.196.068,before 2015,,sedan
16-25,female,0-9y,high school,poverty,4.574.695.879.943.660,before 2015,,sedan
26-39,male,0-9y,none,poverty,30.864.901.820.049.400,before 2015,14000.0,sedan
16-25,male,0-9y,high school,poverty,2.458.351.852.340.730,before 2015,11000.0,sedan
16-25,male,0-9y,high school,poverty,3.056.465.190.413.160,before 2015,14000.0,sedan
26-39,male,10-19y,high school,upper class,7.440.140.862.681.480,before 2015,13000.0,sedan
40-64,male,10-19y,university,upper class,6.704.645.467.899.400,after 2015,14000.0,sedan
65+,female,30y+,high school,upper class,6.830.407.984.824.190,after 2015,10000.0,sedan
16-25,male,0-9y,university,middle class,828.628.569.053.192,before 2015,13000.0,sedan
65+,male,30y+,none,middle class,,before 2015,10000.0,sedan
65+,female,30y+,high school,upper class,6.293.380.939.717.400,before 2015,11000.0,sedan
16-25,male,0-9y,high school,poverty,28.372.421.050.714.000,before 2015,15000.0,sedan
16-25,male,0-9y,university,working class,4.576.486.815.858.430,after 2015,14000.0,sports car
16-25,female,0-9y,high school,poverty,3.049.876.423.937.950,before 2015,15000.0,sedan
16-25,male,0-9y,high school,working class,5.517.442.884.135.390,before 2015,10000.0,sedan
16-25,male,0-9y,none,poverty,3.186.855.562.451.050,before 2015,9000.0,sedan
26-39,male,10-19y,none,working class,436.944.194.154.781,before 2015,12000.0,sedan
40-64,male,10-19y,university,upper class,6.291.939.843.221.720,before 2015,7000.0,sedan
16-25,male,0-9y,university,working class,4.055.600.158.887.260,before 2015,17000.0,sedan
16-25,male,0-9y,university,middle class,6.235.462.115.803.200,before 2015,11000.0,sedan
65+,male,10-19y,university,upper class,7.270.329.897.821.230,before 2015,10000.0,sedan
65+,male,20-29y,none,working class,42.682.838.887.991.500,before 2015,14000.0,sedan
26-39,female,10-19y,none,middle class,5.036.589.704.487.730,before 2015,10000.0,sedan
26-39,female,10-19y,high school,middle class,,before 2015,12000.0,sedan
65+,male,30y+,university,upper class,7.264.400.018.455.290,after 2015,7000.0,sedan
16-25,female,0-9y,none,poverty,24.449.009.312.407.900,before 2015,,sedan
16-25,male,0-9y,university,middle class,5.757.707.974.509.620,before 2015,11000.0,sedan
16-25,male,0-9y,high school,poverty,,before 2015,10000.0,sports car
16-25,male,0-9y,university,working class,468.671.965.728.324,after 2015,9000.0,sedan
65+,male,20-29y,university,upper class,6.970.834.558.464.780,after 2015,13000.0,sedan
40-64,female,20-29y,high school,working class,5.429.181.079.423.030,before 2015,15000.0,sedan
65+,male,30y+,high school,upper class,6.722.562.535.141.290,before 2015,9000.0,sedan
16-25,male,0-9y,none,poverty,3.864.066.185.703.310,before 2015,8000.0,sedan
16-25,male,0-9y,university,middle class,5.512.978.330.713.660,before 2015,12000.0,sedan
40-64,male,20-29y,high school,middle class,5.985.570.254.244.250,after 2015,14000.0,sedan
26-39,female,10-19y,none,working class,,before 2015,,sedan
40-64,female,20-29y,high school,upper class,5.824.219.946.087.400,after 2015,11000.0,sedan
26-39,female,10-19y,high school,middle class,540.182.723.180.248,before 2015,,sedan
65+,male,20-29y,university,upper class,6.330.139.475.122.960,after 2015,14000.0,sedan
40-64,male,20-29y,high school,middle class,552.204.630.296.896,after 2015,12000.0,sedan
26-39,female,0-9y,university,middle class,3.266.816.101.781.180,before 2015,16000.0,sedan
40-64,male,20-29y,high school,middle class,5.880.825.424.047.310,before 2015,13000.0,sedan
65+,female,0-9y,university,upper class,7.022.748.020.975.700,before 2015,10000.0,sedan
65+,female,0-9y,university,upper class,7.266.055.391.975.760,before 2015,13000.0,sedan
26-39,male,10-19y,university,working class,,before 2015,12000.0,sedan
65+,male,30y+,university,upper class,73.238.212.135.242,before 2015,12000.0,sedan
16-25,female,0-9y,none,poverty,2.012.839.211.827.750,before 2015,12000.0,sedan
26-39,male,10-19y,university,middle class,4.641.607.076.311.840,before 2015,16000.0,sedan
40-64,female,20-29y,university,upper class,6.579.677.428.053.030,after 2015,13000.0,sedan
65+,male,30y+,university,upper class,6.002.161.554.309.650,before 2015,13000.0,sedan
65+,male,30y+,university,upper class,6.663.760.181.644.960,after 2015,12000.0,sedan
26-39,male,0-9y,high school,working class,4.031.472.802.313.760,before 2015,10000.0,sedan
65+,male,20-29y,university,upper class,4.169.350.441.301.060,before 2015,13000.0,sedan
65+,female,30y+,none,upper class,5.948.797.136.778.910,before 2015,8000.0,sports car
26-39,male,10-19y,none,poverty,38.042.650.346.206.600,before 2015,16000.0,sedan
16-25,female,0-9y,none,poverty,,before 2015,14000.0,sedan
65+,female,30y+,university,upper class,680.617.632.406.099,before 2015,12000.0,sedan
40-64,male,0-9y,high school,working class,35.595.046.999.386.900,before 2015,16000.0,sedan
40-64,female,10-19y,none,middle class,,before 2015,10000.0,sedan
65+,female,30y+,high school,upper class,587.831.426.389.767,after 2015,,sports car
65+,female,10-19y,university,upper class,5.733.880.426.029.540,after 2015,10000.0,sedan
16-25,male,0-9y,university,middle class,29.640.628.282.378.000,before 2015,13000.0,sedan
65+,male,10-19y,university,upper class,4.295.096.986.208.440,before 2015,10000.0,sedan
65+,female,30y+,university,upper class,6.885.687.186.194.460,after 2015,11000.0,sedan
65+,female,20-29y,university,upper class,700.017.431.968.704,after 2015,13000.0,sedan
26-39,male,10-19y,university,working class,4.495.886.310.379.400,before 2015,,sports car
40-64,female,20-29y,university,upper class,6.900.455.818.778.340,after 2015,11000.0,sedan
40-64,female,10-19y,university,working class,4.960.298.730.510.010,after 2015,13000.0,sedan
26-39,male,10-19y,university,upper class,6.563.457.625.165.390,after 2015,6000.0,sedan
40-64,male,0-9y,high school,middle class,4.983.566.259.941.650,after 2015,12000.0,sedan
16-25,female,0-9y,university,middle class,5.463.825.431.033.470,before 2015,12000.0,sedan
40-64,female,10-19y,high school,working class,3.158.628.767.091.650,before 2015,11000.0,sedan
26-39,male,10-19y,none,working class,5.300.643.171.181.570,before 2015,,sedan
26-39,female,10-19y,high school,working class,35.783.917.207.114.400,before 2015,12000.0,sedan
65+,male,10-19y,university,upper class,672.756.052.841.708,after 2015,9000.0,sedan
40-64,male,20-29y,university,upper class,7.419.993.760.301.160,after 2015,,sedan
65+,female,30y+,university,upper class,6.226.519.789.949.730,after 2015,11000.0,sedan
16-25,female,0-9y,high school,middle class,4.801.406.677.163.000,after 2015,14000.0,sedan
65+,male,30y+,university,upper class,6.787.954.309.829.430,after 2015,11000.0,sedan
65+,male,30y+,university,upper class,,before 2015,10000.0,sedan
40-64,female,20-29y,university,upper class,5.152.467.080.125.880,after 2015,12000.0,sedan
26-39,male,10-19y,none,working class,4.899.205.986.325.760,before 2015,13000.0,sedan
65+,male,30y+,high school,middle class,4.219.579.486.132.660,before 2015,11000.0,sedan
40-64,male,20-29y,university,upper class,5.843.548.496.662.940,before 2015,,sedan
16-25,male,0-9y,none,poverty,,before 2015,9000.0,sedan
65+,female,30y+,high school,upper class,5.581.569.698.935.800,after 2015,14000.0,sedan
16-25,male,0-9y,high school,poverty,19.414.954.837.432.000,before 2015,12000.0,sports car
16-25,male,0-9y,high school,poverty,300.497.330.390.378,before 2015,13000.0,sedan
40-64,female,20-29y,university,upper class,6.670.906.918.498.550,after 2015,7000.0,sedan
40-64,male,0-9y,high school,upper class,6.130.724.079.074.040,before 2015,,sedan
40-64,male,10-19y,university,upper class,,after 2015,11000.0,sedan
26-39,male,10-19y,high school,middle class,5.952.817.629.709.130,before 2015,8000.0,sedan
26-39,male,0-9y,none,poverty,3.482.357.882.933.820,before 2015,7000.0,sedan
26-39,male,10-19y,high school,working class,3.566.396.714.745.860,after 2015,8000.0,sedan
26-39,female,10-19y,none,working class,34.865.912.694.298.000,before 2015,12000.0,sedan
40-64,male,0-9y,high school,middle class,5.594.684.860.915.570,before 2015,12000.0,sedan
16-25,male,0-9y,high school,poverty,514.483.730.987.584,before 2015,12000.0,sedan
40-64,female,20-29y,university,upper class,5.626.384.060.668.860,after 2015,13000.0,sedan
40-64,male,20-29y,university,middle class,5.717.246.252.857.960,before 2015,15000.0,sedan
65+,female,30y+,university,upper class,6.510.078.690.171.570,after 2015,12000.0,sedan
16-25,male,0-9y,university,working class,3.707.348.173.567.910,before 2015,12000.0,sedan
16-25,male,0-9y,high school,poverty,3.051.450.776.813.430,before 2015,14000.0,sedan
26-39,male,10-19y,university,upper class,5.744.144.216.758.430,before 2015,,sedan
26-39,female,10-19y,university,middle class,4.500.145.680.826.030,before 2015,13000.0,sedan
26-39,male,10-19y,university,upper class,6.364.490.959.261.630,before 2015,,sedan
65+,male,30y+,university,upper class,4.576.717.029.360.890,before 2015,,sedan
26-39,female,0-9y,high school,poverty,3.357.473.732.007.090,before 2015,15000.0,sedan
26-39,female,10-19y,none,poverty,3.186.947.648.911.330,before 2015,,sports car
26-39,male,10-19y,university,upper class,5.578.403.271.955.670,after 2015,10000.0,sedan
16-25,female,0-9y,none,working class,1.924.274.124.285.440,before 2015,11000.0,sedan
26-39,male,10-19y,university,working class,35.282.432.513.544.300,before 2015,11000.0,sports car
65+,female,0-9y,university,upper class,647.569.234.863.379,after 2015,11000.0,sedan
16-25,female,0-9y,high school,middle class,4.572.362.634.438.540,after 2015,10000.0,sedan
26-39,male,10-19y,none,middle class,5.042.469.291.759.570,before 2015,13000.0,sedan
16-25,male,0-9y,high school,poverty,3.749.625.006.784.150,before 2015,15000.0,sedan
16-25,female,0-9y,university,upper class,6.603.156.212.983.620,before 2015,11000.0,sports car
40-64,female,20-29y,high school,upper class,4.169.178.873.741.150,before 2015,12000.0,sedan
26-39,female,10-19y,high school,upper class,6.350.840.347.750.650,before 2015,17000.0,sedan
26-39,male,10-19y,high school,middle class,4.049.288.507.406.450,before 2015,11000.0,sedan
40-64,female,20-29y,high school,upper class,4.956.283.926.329.950,after 2015,11000.0,sedan
16-25,male,0-9y,none,poverty,39.217.783.496.592.700,before 2015,,sedan
40-64,female,10-19y,high school,upper class,5.149.450.496.137.510,after 2015,11000.0,sedan
65+,male,30y+,university,upper class,5.032.225.392.796.310,after 2015,9000.0,sedan
26-39,female,10-19y,university,upper class,7.140.339.031.205.740,before 2015,11000.0,sedan
26-39,male,10-19y,high school,working class,3.670.512.395.145.250,before 2015,14000.0,sedan
40-64,female,20-29y,high school,middle class,5.793.929.043.624.150,before 2015,13000.0,sedan
40-64,female,20-29y,high school,middle class,5.584.702.236.402.410,before 2015,10000.0,sedan
16-25,female,0-9y,high school,working class,2.919.776.582.051.940,before 2015,12000.0,sedan
40-64,female,20-29y,high school,middle class,6.615.841.421.190.080,before 2015,12000.0,sedan
16-25,female,0-9y,none,poverty,3.788.290.288.330.990,before 2015,17000.0,sedan
16-25,female,0-9y,high school,poverty,3.740.705.590.179.870,before 2015,15000.0,sedan
40-64,male,20-29y,university,upper class,,before 2015,13000.0,sedan
65+,male,30y+,university,upper class,4.593.785.751.523.130,before 2015,13000.0,sedan
40-64,male,20-29y,university,middle class,,before 2015,15000.0,sedan
40-64,female,0-9y,university,upper class,4.654.506.837.575.690,after 2015,11000.0,sedan
16-25,male,0-9y,high school,middle class,4.086.866.980.912.730,before 2015,9000.0,sedan
65+,female,20-29y,high school,upper class,5.888.021.385.021.840,before 2015,11000.0,sedan
40-64,male,20-29y,high school,upper class,61.502.467.895.473,before 2015,7000.0,sedan
65+,female,30y+,high school,upper class,,before 2015,8000.0,sedan
40-64,female,20-29y,university,upper class,5.464.601.140.543.310,after 2015,8000.0,sedan
26-39,female,10-19y,none,working class,,before 2015,16000.0,sedan
65+,male,0-9y,university,upper class,737.994.819.837.278,after 2015,17000.0,sedan
40-64,female,10-19y,none,working class,4.273.733.642.706.470,before 2015,10000.0,sedan
16-25,female,0-9y,high school,poverty,41.299.184.144.217.000,before 2015,,sedan
40-64,male,20-29y,university,upper class,6.953.231.970.861.330,before 2015,7000.0,sedan
16-25,female,0-9y,high school,poverty,2.912.344.134.674.330,before 2015,13000.0,sedan
16-25,female,0-9y,high school,poverty,2.441.332.629.984.760,before 2015,11000.0,sedan
65+,male,0-9y,university,upper class,5.082.740.148.521.830,after 2015,9000.0,sedan
16-25,female,0-9y,none,poverty,2.932.584.812.581.270,before 2015,14000.0,sedan
26-39,female,10-19y,none,poverty,3.436.417.190.829.050,before 2015,13000.0,sedan
16-25,female,0-9y,university,poverty,5.033.225.200.786,before 2015,15000.0,sports car
26-39,female,0-9y,university,upper class,,after 2015,,sedan
40-64,female,20-29y,university,upper class,6.630.513.690.689.500,after 2015,,sedan
40-64,male,0-9y,none,poverty,20.270.843.794.482.700,before 2015,11000.0,sedan
26-39,female,10-19y,high school,upper class,665.343.329.329.833,before 2015,12000.0,sedan
65+,male,30y+,university,upper class,5.386.236.932.875.660,after 2015,9000.0,sedan
16-25,female,0-9y,high school,working class,4.101.367.047.885.660,before 2015,15000.0,sedan
16-25,male,0-9y,none,poverty,3.136.455.846.123.200,before 2015,13000.0,sedan
26-39,male,0-9y,university,upper class,5.073.241.356.207.070,before 2015,12000.0,sedan
16-25,male,0-9y,none,poverty,2.095.073.883.823.180,before 2015,14000.0,sedan
16-25,female,0-9y,high school,working class,4.907.240.542.637.640,before 2015,15000.0,sedan
40-64,male,20-29y,university,middle class,5.814.986.743.175.800,before 2015,14000.0,sedan
26-39,female,0-9y,high school,upper class,6.850.359.505.244.250,before 2015,12000.0,sedan
26-39,male,0-9y,university,middle class,4.739.316.494.372.350,after 2015,,sedan
16-25,male,0-9y,high school,working class,,before 2015,11000.0,sedan
40-64,male,10-19y,university,upper class,5.128.461.364.179.450,after 2015,10000.0,sedan
40-64,male,10-19y,university,upper class,6.624.617.559.275.000,after 2015,13000.0,sedan
40-64,female,20-29y,high school,upper class,5.564.133.152.355.350,before 2015,17000.0,sedan
16-25,female,0-9y,high school,poverty,2.673.466.585.061.870,before 2015,17000.0,sedan
65+,female,30y+,university,upper class,8.094.112.590.513.300,before 2015,9000.0,sedan
16-25,female,0-9y,none,poverty,3.679.435.479.917.750,after 2015,11000.0,sedan
65+,female,30y+,university,upper class,5.033.547.111.991.340,before 2015,11000.0,sedan
65+,female,0-9y,none,middle class,5.342.877.060.116.480,before 2015,13000.0,sedan
16-25,female,0-9y,university,middle class,,before 2015,10000.0,sports car
16-25,female,0-9y,high school,middle class,,before 2015,13000.0,sedan
40-64,male,20-29y,none,middle class,4.490.117.755.463.270,before 2015,7000.0,sedan
40-64,male,20-29y,university,upper class,8.032.523.419.405.170,before 2015,10000.0,sedan
26-39,female,0-9y,high school,middle class,,before 2015,8000.0,sports car
16-25,female,0-9y,none,poverty,18.618.511.472.085.500,before 2015,17000.0,sedan
40-64,female,10-19y,university,upper class,,after 2015,13000.0,sedan
26-39,male,10-19y,high school,working class,3.151.293.556.030.710,before 2015,,sedan
16-25,male,0-9y,none,poverty,,before 2015,12000.0,sedan
65+,female,30y+,university,upper class,4.836.380.123.288.590,after 2015,9000.0,sedan
26-39,female,10-19y,high school,poverty,3.858.741.008.429.720,before 2015,14000.0,sedan
65+,male,30y+,high school,upper class,6.343.725.020.457.220,after 2015,11000.0,sedan
16-25,male,0-9y,high school,working class,3.621.741.186.724.680,before 2015,16000.0,sedan
26-39,female,10-19y,high school,poverty,,before 2015,5000.0,sedan
65+,female,10-19y,university,upper class,6.928.836.357.133.880,before 2015,10000.0,sedan
65+,female,30y+,high school,upper class,5.777.028.525.076.910,before 2015,11000.0,sedan
40-64,male,20-29y,university,upper class,6.640.650.143.948.850,after 2015,11000.0,sedan
40-64,male,20-29y,high school,upper class,4.897.024.062.963.830,after 2015,,sedan
26-39,female,0-9y,none,poverty,28.286.948.087.115.700,before 2015,13000.0,sports car
40-64,male,0-9y,high school,working class,4.317.004.117.968.680,before 2015,10000.0,sedan
16-25,male,0-9y,university,poverty,12.645.343.139.860.300,before 2015,14000.0,sedan
16-25,male,0-9y,none,poverty,2.859.976.102.627.200,before 2015,12000.0,sedan
26-39,male,10-19y,university,upper class,5.430.074.428.650.370,after 2015,15000.0,sedan
26-39,male,10-19y,high school,middle class,3.706.567.853.008.600,before 2015,,sedan
16-25,female,0-9y,high school,poverty,,before 2015,18000.0,sports car
65+,female,20-29y,high school,upper class,7.917.101.109.944.500,after 2015,11000.0,sedan
26-39,female,10-19y,high school,working class,4.717.963.087.189.380,before 2015,5000.0,sedan
26-39,male,10-19y,university,upper class,,before 2015,12000.0,sedan
26-39,female,10-19y,none,working class,628.633.149.594.721,before 2015,9000.0,sedan
16-25,male,0-9y,high school,poverty,34.481.805.562.253.500,before 2015,10000.0,sedan
40-64,male,20-29y,high school,upper class,5.478.225.909.631.780,before 2015,15000.0,sports car
16-25,male,0-9y,high school,poverty,3.398.648.345.906.030,before 2015,16000.0,sedan
16-25,female,0-9y,high school,poverty,28.978.714.394.651.400,after 2015,13000.0,sedan
16-25,male,0-9y,university,middle class,5.979.347.864.750.690,before 2015,13000.0,sedan
26-39,female,0-9y,none,working class,3.692.930.793.988.260,before 2015,14000.0,sedan
65+,male,30y+,none,working class,4.171.250.369.936.760,before 2015,9000.0,sedan
40-64,male,20-29y,university,upper class,570.277.670.616.915,before 2015,7000.0,sedan
40-64,female,20-29y,high school,middle class,5.340.483.380.212.560,before 2015,16000.0,sports car
40-64,male,20-29y,university,upper class,,after 2015,11000.0,sedan
40-64,male,0-9y,university,upper class,5.968.280.062.363.120,after 2015,13000.0,sedan
65+,female,30y+,university,upper class,6.409.488.031.039.330,after 2015,,sedan
40-64,female,20-29y,high school,middle class,5.860.627.511.953.000,before 2015,13000.0,sports car
40-64,female,0-9y,university,upper class,6.168.247.780.300.140,after 2015,9000.0,sedan
65+,male,30y+,high school,middle class,3.224.660.183.950.980,after 2015,,sedan
65+,male,30y+,none,middle class,344.957.864.738.121,before 2015,15000.0,sedan
16-25,male,0-9y,university,upper class,7.154.034.227.572.680,after 2015,10000.0,sedan
26-39,male,10-19y,high school,working class,4.082.920.061.533.430,before 2015,10000.0,sedan
16-25,male,0-9y,none,poverty,2.708.440.121.659.790,before 2015,,sedan
26-39,female,10-19y,university,upper class,606.735.714.725.739,before 2015,12000.0,sedan
65+,female,30y+,university,upper class,5.824.680.179.178.990,before 2015,14000.0,sedan
65+,male,0-9y,high school,upper class,6.062.206.447.979.110,before 2015,,sedan
26-39,male,0-9y,university,upper class,,before 2015,12000.0,sedan
26-39,female,10-19y,high school,middle class,755.633.866.133.054,before 2015,16000.0,sedan
16-25,male,0-9y,university,poverty,29.120.862.605.217.500,before 2015,11000.0,sedan
26-39,female,10-19y,university,upper class,6.161.117.243.839.740,after 2015,13000.0,sedan
40-64,female,10-19y,high school,working class,4.712.361.399.215.780,before 2015,12000.0,sedan
65+,female,30y+,university,upper class,6.782.370.223.364.710,after 2015,,sedan
40-64,male,20-29y,high school,middle class,5.153.486.460.517.400,before 2015,10000.0,sedan
65+,male,10-19y,high school,upper class,507.690.848.953.627,after 2015,7000.0,sedan
40-64,female,10-19y,none,working class,509.910.296.776.192,before 2015,13000.0,sedan
40-64,female,0-9y,none,working class,5.038.597.346.352.100,before 2015,11000.0,sedan
40-64,male,20-29y,university,middle class,577.135.941.672.739,before 2015,7000.0,sedan
